model_id,metric,mean,std,min,max,count,total
first_model,step_count,1.0,0.0,1.0,1.0,3,
first_model,initial_validation_accept_rate,0.0,0.0,0.0,0.0,3,
first_model,final_validation_accept_rate,0.0,0.0,0.0,0.0,3,
first_model,execution_success_rate,0.0,0.0,0.0,0.0,3,
first_model,normal_activity_score,0.0,0.0,0.0,0.0,3,
first_model,diversity_score,0.416667,0.0,0.41666666666666663,0.41666666666666663,3,
first_model,repetition_score,1.0,0.0,1.0,1.0,3,
first_model,sequence_coherence_score,0.0,0.0,0.0,0.0,3,
first_model,history_usage_score,0.5,0.0,0.5,0.5,3,
first_model,average_selection_latency_ms,792.611333,31.375244,769.63,836.973,3,
first_model,average_total_step_latency_ms,794.258667,31.321096,771.175,838.54,3,
first_model,total_file_not_found_count,,,,,,0
first_model,total_unsafe_path_count,,,,,,9
first_model,total_validation_failure_count,,,,,,3
first_model,total_repair_attempt_count,,,,,,3
first_model,total_successful_execution_count,,,,,,0
qwen2_5_3b_instruct_q4_k_m,step_count,1.0,0.0,1.0,1.0,3,
qwen2_5_3b_instruct_q4_k_m,initial_validation_accept_rate,1.0,0.0,1.0,1.0,3,
qwen2_5_3b_instruct_q4_k_m,final_validation_accept_rate,1.0,0.0,1.0,1.0,3,
qwen2_5_3b_instruct_q4_k_m,execution_success_rate,0.0,0.0,0.0,0.0,3,
qwen2_5_3b_instruct_q4_k_m,normal_activity_score,0.0,0.0,0.0,0.0,3,
qwen2_5_3b_instruct_q4_k_m,diversity_score,0.416667,0.0,0.41666666666666663,0.41666666666666663,3,
qwen2_5_3b_instruct_q4_k_m,repetition_score,1.0,0.0,1.0,1.0,3,
qwen2_5_3b_instruct_q4_k_m,sequence_coherence_score,0.0,0.0,0.0,0.0,3,
qwen2_5_3b_instruct_q4_k_m,history_usage_score,0.5,0.0,0.5,0.5,3,
qwen2_5_3b_instruct_q4_k_m,average_selection_latency_ms,459.744667,69.305524,404.583,557.488,3,
qwen2_5_3b_instruct_q4_k_m,average_total_step_latency_ms,460.345333,69.267442,405.248,558.038,3,
qwen2_5_3b_instruct_q4_k_m,total_file_not_found_count,,,,,,0
qwen2_5_3b_instruct_q4_k_m,total_unsafe_path_count,,,,,,0
qwen2_5_3b_instruct_q4_k_m,total_validation_failure_count,,,,,,0
qwen2_5_3b_instruct_q4_k_m,total_repair_attempt_count,,,,,,0
qwen2_5_3b_instruct_q4_k_m,total_successful_execution_count,,,,,,0
