metric,value
trial_count,1
completed_trial_count,0
failed_trial_count,1
mean_pair_quality_score,
std_pair_quality_score,
min_pair_quality_score,
max_pair_quality_score,
mean_plan_valid_rate,0.0
mean_executor_call_count,0.0
mean_final_validation_success_rate,0.0
mean_execution_success_rate,0.0
total_safety_violations,0
total_errors,1
common_failure_modes,"{""FileNotFoundError"": 1}"
common_actions,{}
common_action_parameters,{}
mean_wall_time_ms,
mean_orchestrator_latency_ms,
mean_executor_latency_ms,
