metric,value
trial_count,2
completed_trial_count,2
failed_trial_count,0
mean_pair_quality_score,0.895833
std_pair_quality_score,0.0
min_pair_quality_score,0.895833
max_pair_quality_score,0.895833
mean_plan_valid_rate,1.0
mean_executor_call_count,2.0
mean_final_validation_success_rate,1.0
mean_execution_success_rate,1.0
total_safety_violations,0
total_errors,0
common_failure_modes,{}
common_actions,"{""read_file"": 4}"
common_action_parameters,"{""{\""action\"": \""read_file\"", \""parameters\"": {\""path\"": \""docs/ai/final_tz_readiness_audit.md\""}}"": 2, ""{\""action\"": \""read_file\"", \""parameters\"": {\""path\"": \""docs/ai/model_research_metadata.md\""}}"": 2}"
mean_wall_time_ms,2.3695
mean_orchestrator_latency_ms,0.0455
mean_executor_latency_ms,0.013
