metric,value
trial_count,3
completed_trial_count,3
failed_trial_count,0
mean_pair_quality_score,0.875451
std_pair_quality_score,5.6e-05
min_pair_quality_score,0.875377
max_pair_quality_score,0.875512
mean_plan_valid_rate,1.0
mean_executor_call_count,9.0
mean_final_validation_success_rate,0.777778
mean_execution_success_rate,1.0
total_safety_violations,0
total_errors,6
common_failure_modes,"{""NextActionJSONError"": 6, ""NextActionValidationError"": 6}"
common_actions,"{""read_file"": 21}"
common_action_parameters,"{""{\""action\"": \""read_file\"", \""parameters\"": {\""path\"": \""configs/multi_agent_fixtures/office_developer_maintenance/maintenance_notes.md\""}}"": 6, ""{\""action\"": \""read_file\"", \""parameters\"": {\""path\"": \""configs/multi_agent_fixtures/office_developer_maintenance/project_context.md\""}}"": 3, ""{\""action\"": \""read_file\"", \""parameters\"": {\""path\"": \""configs/multi_agent_fixtures/office_developer_maintenance/team_brief.md\""}}"": 6, ""{\""action\"": \""read_file\"", \""parameters\"": {\""path\"": \""docs/ai/orchestrator_executor_pair_matrix_v1.md\""}}"": 6}"
mean_wall_time_ms,8776.273
mean_orchestrator_latency_ms,1659.897
mean_executor_latency_ms,788.232556
