metric,value
trial_count,3
completed_trial_count,3
failed_trial_count,0
mean_pair_quality_score,0.88774
std_pair_quality_score,0.00011
min_pair_quality_score,0.887587
max_pair_quality_score,0.88784
mean_plan_valid_rate,1.0
mean_executor_call_count,2.0
mean_final_validation_success_rate,1.0
mean_execution_success_rate,1.0
total_safety_violations,0
total_errors,0
common_failure_modes,{}
common_actions,"{""read_file"": 6}"
common_action_parameters,"{""{\""action\"": \""read_file\"", \""parameters\"": {\""path\"": \""docs/ai/model_research_metadata.md\""}}"": 3, ""{\""action\"": \""read_file\"", \""parameters\"": {\""path\"": \""docs/ai/orchestrator_executor_quality_spec.md\""}}"": 3}"
mean_wall_time_ms,2348.006667
mean_orchestrator_latency_ms,712.865333
mean_executor_latency_ms,809.369833
