metric,value
trial_count,3
completed_trial_count,3
failed_trial_count,0
mean_pair_quality_score,0.820328
std_pair_quality_score,7.7e-05
min_pair_quality_score,0.82023
max_pair_quality_score,0.820417
mean_plan_valid_rate,1.0
mean_executor_call_count,11.0
mean_final_validation_success_rate,0.454545
mean_execution_success_rate,1.0
total_safety_violations,0
total_errors,18
common_failure_modes,"{""HTTPStatusError"": 18, ""validation_failed"": 18, ""write_path_outside_artifact_workspace"": 18}"
common_actions,"{""create_file"": 15, ""read_file"": 9}"
common_action_parameters,"{""{\""action\"": \""create_file\"", \""parameters\"": {\""content\"": \""Maintenance follow-up context content here.\"", \""path\"": \""docs/ai/orchestrator_executor_pair_matrix_v1.md\""}}"": 4, ""{\""action\"": \""create_file\"", \""parameters\"": {\""content\"": \""Maintenance follow-up context content.\"", \""path\"": \""docs/ai/orchestrator_executor_pair_matrix_v1.md\""}}"": 1, ""{\""action\"": \""create_file\"", \""parameters\"": {\""content\"": \""The local document content is available.\"", \""path\"": \""configs/multi_agent_fixtures/office_developer_maintenance/project_context.md\""}}"": 3, ""{\""action\"": \""create_file\"", \""parameters\"": {\""content\"": \""office_agent_2 local group note.\"", \""path\"": \""experiments/multi_agent/orchestrator_executor/repeated_local_second_to_first_heavy_group_n3_workspace_policy_v1/runs/trial_001/workspace/office_agent_2_executor_note.md\""}}"": 2, ""{\""action\"": \""create_file\"", \""parameters\"": {\""content\"": \""office_agent_2 local group note.\"", \""path\"": \""experiments/multi_agent/orchestrator_executor/repeated_local_second_to_first_heavy_group_n3_workspace_policy_v1/runs/trial_002/workspace/office_agent_2_executor_note.md\""}}"": 2, ""{\""action\"": \""create_file\"", \""parameters\"": {\""content\"": \""office_agent_2 local group note.\"", \""path\"": \""experiments/multi_agent/orchestrator_executor/repeated_local_second_to_first_heavy_group_n3_workspace_policy_v1/runs/trial_003/workspace/office_agent_2_executor_note.md\""}}"": 2, ""{\""action\"": \""read_file\"", \""parameters\"": {\""path\"": \""configs/multi_agent_fixtures/office_developer_maintenance/project_context.md\""}}"": 3, ""{\""action\"": \""read_file\"", \""parameters\"": {\""path\"": \""configs/multi_agent_fixtures/office_developer_maintenance/team_brief.md\""}}"": 6}"
mean_wall_time_ms,6804.056333
mean_orchestrator_latency_ms,1644.759333
mean_executor_latency_ms,467.207424
