metric,value
trial_count,3
completed_trial_count,3
failed_trial_count,0
mean_pair_quality_score,0.889947
std_pair_quality_score,0.000105
min_pair_quality_score,0.889801
max_pair_quality_score,0.89004
mean_plan_valid_rate,1.0
mean_executor_call_count,2.0
mean_final_validation_success_rate,1.0
mean_execution_success_rate,1.0
total_safety_violations,0
total_errors,0
common_failure_modes,{}
common_actions,"{""create_file"": 3, ""read_file"": 3}"
common_action_parameters,"{""{\""action\"": \""create_file\"", \""parameters\"": {\""content\"": \""office_agent local group note.\"", \""path\"": \""experiments/multi_agent/orchestrator_executor/runtime_probe_candidate_pairs_v1/simple_second_to_first/runs/trial_001/workspace/office_agent_executor_note.md\""}}"": 1, ""{\""action\"": \""create_file\"", \""parameters\"": {\""content\"": \""office_agent local group note.\"", \""path\"": \""experiments/multi_agent/orchestrator_executor/runtime_probe_candidate_pairs_v1/simple_second_to_first/runs/trial_002/workspace/office_agent_executor_note.md\""}}"": 1, ""{\""action\"": \""create_file\"", \""parameters\"": {\""content\"": \""office_agent local group note.\"", \""path\"": \""experiments/multi_agent/orchestrator_executor/runtime_probe_candidate_pairs_v1/simple_second_to_first/runs/trial_003/workspace/office_agent_executor_note.md\""}}"": 1, ""{\""action\"": \""read_file\"", \""parameters\"": {\""path\"": \""configs/evaluation_models.json\""}}"": 3}"
mean_wall_time_ms,2056.198667
mean_orchestrator_latency_ms,864.125333
mean_executor_latency_ms,588.598833
