model_id,metric,mean,std,min,max,count,total
first_model,step_count,2.0,0.0,2.0,2.0,2,
first_model,initial_validation_accept_rate,1.0,0.0,1.0,1.0,2,
first_model,final_validation_accept_rate,1.0,0.0,1.0,1.0,2,
first_model,execution_success_rate,1.0,0.0,1.0,1.0,2,
first_model,normal_activity_score,0.595,0.0,0.595,0.595,2,
first_model,diversity_score,0.5,0.0,0.5,0.5,2,
first_model,repetition_score,0.725,0.0,0.7250000000000001,0.7250000000000001,2,
first_model,sequence_coherence_score,0.0,0.0,0.0,0.0,2,
first_model,history_usage_score,0.0,0.0,0.0,0.0,2,
first_model,average_selection_latency_ms,0.107,0.023,0.084,0.13,2,
first_model,average_total_step_latency_ms,0.7765,0.0565,0.72,0.833,2,
first_model,total_file_not_found_count,,,,,,0
first_model,total_unsafe_path_count,,,,,,0
first_model,total_validation_failure_count,,,,,,0
first_model,total_repair_attempt_count,,,,,,0
first_model,total_successful_execution_count,,,,,,4
qwen2_5_3b_instruct_q4_k_m,step_count,2.0,0.0,2.0,2.0,2,
qwen2_5_3b_instruct_q4_k_m,initial_validation_accept_rate,1.0,0.0,1.0,1.0,2,
qwen2_5_3b_instruct_q4_k_m,final_validation_accept_rate,1.0,0.0,1.0,1.0,2,
qwen2_5_3b_instruct_q4_k_m,execution_success_rate,1.0,0.0,1.0,1.0,2,
qwen2_5_3b_instruct_q4_k_m,normal_activity_score,0.595,0.0,0.595,0.595,2,
qwen2_5_3b_instruct_q4_k_m,diversity_score,0.5,0.0,0.5,0.5,2,
qwen2_5_3b_instruct_q4_k_m,repetition_score,0.725,0.0,0.7250000000000001,0.7250000000000001,2,
qwen2_5_3b_instruct_q4_k_m,sequence_coherence_score,0.0,0.0,0.0,0.0,2,
qwen2_5_3b_instruct_q4_k_m,history_usage_score,0.0,0.0,0.0,0.0,2,
qwen2_5_3b_instruct_q4_k_m,average_selection_latency_ms,0.076,0.001,0.075,0.077,2,
qwen2_5_3b_instruct_q4_k_m,average_total_step_latency_ms,0.6765,0.0445,0.632,0.721,2,
qwen2_5_3b_instruct_q4_k_m,total_file_not_found_count,,,,,,0
qwen2_5_3b_instruct_q4_k_m,total_unsafe_path_count,,,,,,0
qwen2_5_3b_instruct_q4_k_m,total_validation_failure_count,,,,,,0
qwen2_5_3b_instruct_q4_k_m,total_repair_attempt_count,,,,,,0
qwen2_5_3b_instruct_q4_k_m,total_successful_execution_count,,,,,,4
